date,time,toplam,dogalgaz,ruzgar,linyit,tasKomur,ithalKomur,fuelOil,jeotermal,barajli,nafta,biokutle,akarsu,gunes,diger
2025-02-14 20:00:00+00:00,23:00,38647.78,9250.84,4321.5,3860.6,268.0,9203.5,7.4,1159.96,8257.53,0.0,949.25,1128.7,0.0,240.5
2025-02-14 21:00:00+00:00,00:00,36125.98,9720.46,4413.27,3863.5,270.0,9173.0,7.5,1160.96,5189.13,0.0,935.66,1194.1,0.0,198.4
2025-02-14 22:00:00+00:00,01:00,33794.87,9391.23,4534.05,3592.0,270.0,9173.0,7.5,1162.48,3578.13,0.0,928.96,993.02,0.0,164.5
2025-02-14 23:00:00+00:00,02:00,32487.56,8940.68,4632.87,3666.0,270.0,9173.0,7.5,1164.63,2680.83,0.0,930.4,858.05,0.0,163.6
2025-02-15 00:00:00+00:00,03:00,31647.54,8768.76,4623.29,3735.0,270.0,9188.7,7.5,1167.19,2076.73,0.0,931.15,715.62,0.0,163.6
2025-02-15 01:00:00+00:00,04:00,31155.01,8503.48,4623.89,3725.0,270.0,9188.7,7.5,1169.58,1931.73,0.0,933.11,703.42,0.0,98.6
2025-02-15 02:00:00+00:00,05:00,31332.76,8671.88,4649.92,3727.0,270.0,9188.7,7.5,1172.71,1917.53,0.0,926.11,704.01,0.1,97.3
2025-02-15 03:00:00+00:00,06:00,32132.58,9305.79,4613.37,3747.0,270.0,9188.7,7.5,1172.28,2063.93,0.0,941.55,725.06,0.1,97.3
2025-02-15 04:00:00+00:00,07:00,32932.2,9622.29,4659.57,3788.0,270.0,9096.5,7.5,1171.62,2305.63,0.0,944.97,937.93,30.89,97.3
2025-02-15 05:00:00+00:00,08:00,35192.15,9914.79,4662.99,3802.0,270.0,9151.5,10.4,1169.06,3297.33,0.0,961.65,1289.96,564.97,97.5
2025-02-15 06:00:00+00:00,09:00,35141.57,9409.0,4722.01,3805.0,270.0,9162.5,13.5,1163.91,2892.83,0.0,978.21,1130.19,1496.32,98.1
2025-02-15 07:00:00+00:00,10:00,34629.3,8888.9,4550.98,3819.39,270.0,9062.5,14.8,1156.03,3060.33,0.0,999.36,987.23,1721.28,98.5
2025-02-15 08:00:00+00:00,11:00,33734.7,7483.7,4429.69,3731.68,254.0,9064.5,14.0,1146.34,3831.93,0.0,1000.11,903.69,1776.06,99.0
2025-02-15 09:00:00+00:00,12:00,31965.89,6120.1,4182.6,3687.8,257.0,9054.5,6.0,1138.1,3832.93,0.0,1006.6,783.69,1797.07,99.5
2025-02-15 10:00:00+00:00,13:00,31932.55,6728.8,3848.54,3504.8,270.0,9054.5,12.2,1128.16,3761.93,0.0,997.36,750.16,1776.6,99.5
2025-02-15 11:00:00+00:00,14:00,33288.2,7882.3,3446.68,3485.69,270.0,9052.5,11.3,1119.85,4373.63,0.0,966.84,868.9,1711.01,99.5
2025-02-15 12:00:00+00:00,15:00,34393.16,8995.7,3222.03,3515.0,263.0,9218.5,10.0,1112.24,4494.93,0.0,971.2,928.64,1554.92,107.0
2025-02-15 13:00:00+00:00,16:00,36195.89,10493.19,3049.39,3568.8,270.0,9211.5,9.3,1109.49,5298.93,0.0,987.26,1075.42,1013.01,109.6
