date,price,lep,planned_total_gen,ruzgar,gunes,planned_gas_gen,price_independent_sales,gas_price,temperature,wind_speed,solar_radiation,precipitation,cloud_cover,sfk_price,pfk_price,hour,day_of_week,month,is_weekend,is_holiday,price_lag_24,price_lag_48,price_lag_168,smp_lag_24,sfk_lag_24,pfk_lag_24,gen_deviation_lag_24,price_volatility_24h,price_momentum_24h,price_rolling_24h_mean,price_rolling_168h_mean,demand_supply_ratio,pi_offer_ratio,gas_price_lag_24,elec_gas_ratio
2025-08-25 02:00:00+00:00,2500.0,34372,33791.5,8608.92,71.38,6236.2,13511.8,14305.26,18.6,12.033333333333331,0.0,0.0,0.3333333333333333,497.71,700.0,2,0,8,0,0,2725.99,3315.24,3155.0,2201.0,847.18,1192.57,1250.6199999999953,387.2629059086045,-589.25,3074.568333333333,3088.8171428571427,1.017148775615891,0.3998461197011171,14298.87,0.19063040433234704
2025-08-25 03:00:00+00:00,2355.0,33764,33645.02,8520.62,739.59,6153.3,14490.6,14305.26,18.23333333333333,11.933333333333332,0.0,0.0,1.3333333333333333,497.71,700.0,3,0,8,0,0,2858.9,3170.01,3118.0,2858.9,847.18,1192.57,749.7799999999988,389.1316791768206,-311.1100000000001,3061.6054166666668,3085.5963095238094,1.0035065068617328,0.43067798212091657,14298.87,0.1999248944221171
2025-08-25 04:00:00+00:00,2200.01,35511,36290.52,8387.78,3715.76,6059.58,15469.6,14305.26,18.266666666666666,12.166666666666666,6.666666666666667,0.0,0.3333333333333333,1156.99,484.69,4,0,8,0,0,2880.01,3400.0,2800.0,3294.62,847.18,1192.57,-1606.4400000000023,383.9123220772888,-519.9899999999998,3039.939166666667,3084.881785714286,0.9784930474116268,0.4262593575579089,14298.87,0.20140113161867906
2025-08-25 05:00:00+00:00,3400.0,41776,41921.16,8327.68,7937.21,6743.78,16621.2,14305.26,19.6,12.6,94.0,0.0,1.0,1156.99,484.69,5,0,8,0,0,1383.99,3289.99,3400.0,1778.99,2999.0,828.3,-5491.000000000004,507.2609092255006,-1905.9999999999998,2960.5224999999996,3085.1174404761905,0.9965135384245467,0.3964776624105246,14298.87,0.09678339733158413
2025-08-25 06:00:00+00:00,3380.0,44993,45906.54,8303.62,11537.14,7046.1,17795.2,14305.26,21.33333333333333,14.466666666666669,259.0,0.0,2.6666666666666665,1156.99,484.69,6,0,8,0,0,779.99,2789.01,3400.0,1778.99,2999.0,828.3,-9457.920000000002,674.8702144642579,-2009.0200000000002,2876.8133333333335,3079.045892857143,0.9800786537462037,0.38763131285187574,14298.87,0.05454525111067443
2025-08-25 07:00:00+00:00,2451.92,46785,47767.5,8169.7,14095.74,6476.14,19678.6,14305.26,23.166666666666668,14.733333333333333,432.3333333333333,0.0,1.6666666666666667,1156.99,484.69,7,0,8,0,0,1000.0,2820.0,3196.97,1778.99,2999.0,828.3,-11314.71,776.1815512970727,-1820.0,2800.98,3079.0458333333336,0.979411118205512,0.41195767085003715,14298.87,0.06993070566375778
2025-08-25 08:00:00+00:00,2599.99,48424,48678.78,8113.83,15535.23,6548.15,20678.4,14305.26,25.133333333333336,14.566666666666668,590.0,0.0,2.6666666666666665,1404.45,584.27,8,0,8,0,0,779.99,2820.0,3196.96,1778.99,4488.2,829.81,-12776.580000000002,878.9115435755004,-2040.01,2715.9795833333333,3077.7363095238097,0.9947456623674141,0.4247841711692206,14298.87,0.05454525111067443
2025-08-25 09:00:00+00:00,1584.89,47861,48582.56,8108.77,16137.88,6266.84,21696.4,14305.26,26.933333333333334,14.033333333333331,684.3333333333334,0.0,17.333333333333332,1404.45,584.27,9,0,8,0,0,754.1,2550.01,2500.0,1956.89,4488.2,829.81,-13105.479999999996,965.8113267183218,-1795.9100000000003,2641.15,3076.2071428571426,0.9851274793366316,0.4465790485505797,14298.87,0.05273474514103974
2025-08-25 10:00:00+00:00,2609.12,48972,49199.65,8383.55,15901.4,6752.86,21091.4,14305.26,28.166666666666668,12.833333333333334,685.6666666666666,0.0,16.333333333333332,1404.45,584.27,10,0,8,0,0,1048.0,2777.24,3017.97,2000.01,4488.2,829.81,-12679.479999999996,1018.2939001549433,-1729.2399999999998,2569.0983333333334,3071.135714285714,0.9953527036736303,0.4286813283970842,14298.87,0.07328737953561815
2025-08-25 11:00:00+00:00,2962.01,50513,50494.82,8665.52,14697.95,7700.92,19820.3,14305.26,28.96666666666667,12.133333333333333,672.0,0.0,23.33333333333333,1404.45,584.27,11,0,8,0,0,1400.0,1900.0,3100.01,2000.0,4488.2,829.81,-11458.380000000005,1037.511621931769,-500.0,2548.265,3071.135773809524,1.0003402261810979,0.3925136773697308,14298.87,0.09790298792926089
